Date,Time,Area Name,Road/Intersection Name,Traffic Volume,Average Speed,Travel Time Index,Congestion Level,Road Capacity Utilization,Incident Reports,Environmental Impact,Public Transport Usage,Traffic Signal Compliance,Parking Usage,Pedestrian and Cyclist Count,Weather Conditions,Temperature,Roadwork and Construction Activity,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km),latitude,longitude,h3_index,event name,event type,event importance
03-01-2024,14:45,Ulsoor,Old Madras Road,240,34.0,1.76,21.1,4.8,0,164.5,37,92,40,6,Fog,18.8,1,478,461,429,420,300,217,0.964,0.979,0.714,0.714,83,0.277,0.454,60372.72,8.12,158.49,1762.04,12.984844,77.616614,8986dd49267ffff,Bollywood Beats Concert  Ulsoor,Concert,0.57
03-01-2024,17:30,Hebbal,Hebbal Flyover,737,39.0,1.54,25.1,14.7,1,161.8,25,97,29,28,Fog,20.4,0,675,602,376,317,266,224,0.892,0.843,0.839,0.839,42,0.158,0.332,31146.02,5.15,113.81,1153.6,13.037922,77.589715,8986d886817ffff,Local Band Night  Hebbal,Concert,0.21
03-01-2024,17:45,Koramangala,Sony World Junction,1354,51.1,1.17,27.1,27.1,2,132.9,67,84,44,33,Clear,31.9,1,999,879,863,821,812,717,0.88,0.951,0.989,0.989,95,0.117,0.718,101820.17,6.8,126.18,4875.6,12.933476,77.620954,8986d88454bffff,Tech Connect Expo  Koramangala,Exhibition,0.61
03-01-2024,18:30,Jayanagar,9th Main Road,1321,39.0,1.54,32.7,26.4,1,169.0,51,86,76,21,Clear,29.9,0,42,37,28,23,11,10,0.881,0.821,0.478,0.478,1,0.091,0.238,1196.95,6.86,142.66,68.6,12.920951,77.594044,8986d88412bffff,No Event,No Event,0.0
03-01-2024,18:45,HSR Layout,27th Main Road,845,37.6,1.6,27.2,16.9,0,169.2,41,86,38,19,Light Rain,24.8,0,714,669,606,504,328,278,0.937,0.832,0.651,0.651,50,0.152,0.389,51955.02,6.43,130.11,1787.54,12.90854,77.645012,8986d88626fffff,"Global Music Festival  Koramangala Indoor Stadium, HSR Layout",Concert,0.71
03-01-2024,20:30,Marathahalli,Varthur Kodi,323,41.3,1.45,18.5,6.5,2,185.0,28,92,82,18,Light Rain,25.7,0,172,162,148,136,109,94,0.942,0.919,0.801,0.801,15,0.138,0.547,5119.52,6.21,112.94,583.74,12.950397,77.701009,8986d895a2bffff,No Event,No Event,0.0
03-01-2024,20:45,BTM Layout,Silk Board Junction,910,51.1,1.17,21.3,18.2,0,143.9,18,83,61,28,Clear,31.3,0,689,627,577,504,370,341,0.91,0.873,0.734,0.734,29,0.078,0.495,81515.84,8.49,168.83,2895.09,12.904185,77.615372,8986d886e1bffff,Art & Design Fair  BTM Layout,Exhibition,0.69
04-01-2024,00:30,Yeshwanthpur,Orion Mall Road,91,51.9,1.16,10.2,1.8,0,147.3,24,84,75,6,Clear,29.3,0,403,351,304,291,187,143,0.871,0.957,0.643,0.643,44,0.235,0.355,24418.31,8.97,134.24,1282.71,13.021283,77.553891,8986d8b3443ffff,Auto Expo  Yeshwanthpur,Exhibition,0.54
04-01-2024,09:00,Banashankari,Kanakapura Road,406,50.2,1.2,15.2,8.1,2,159.7,26,86,23,37,Clear,31.2,0,533,515,345,291,231,188,0.966,0.843,0.794,0.794,43,0.186,0.353,50312.56,8.69,166.71,1633.72,12.92234,77.568681,8986dd49a87ffff,Classical Music Recital  Banashankari,Cultural,0.51
04-01-2024,09:15,Hebbal,Nagawara Junction,823,48.8,1.23,21.3,16.5,1,139.4,42,82,82,40,Storm,20.6,0,244,216,190,186,139,128,0.885,0.979,0.747,0.747,11,0.079,0.525,5876.87,2.62,87.09,335.36,13.028951,77.592978,8986dd48273ffff,Local Band Night  Hebbal,Concert,0.28
04-01-2024,10:45,Jayanagar,9th Main Road,1371,46.7,1.28,29.5,27.4,1,132.1,18,99,95,3,Clear,29.7,0,299,258,206,175,129,94,0.863,0.85,0.737,0.737,35,0.271,0.314,4978.81,8.79,123.54,826.26,12.920951,77.594044,8986d88412bffff,Local Band Night  Jayanagar,Concert,0.39
04-01-2024,14:00,Yeshwanthpur,Outer Ring Road,157,52.0,1.15,11.0,3.1,0,140.0,7,90,74,4,Rain,22.1,0,292,254,203,190,107,92,0.87,0.936,0.563,0.563,15,0.14,0.315,8123.5,5.82,96.36,535.44,13.020297,77.552105,8986d8b3413ffff,No Event,No Event,0.0
04-01-2024,14:30,Malleshwaram,Sampige Road,120,41.5,1.45,15.8,2.4,1,180.1,38,83,46,8,Cloudy,24.2,1,164,146,89,87,85,77,0.89,0.978,0.977,0.977,8,0.094,0.47,8282.34,4.5,86.03,346.5,13.012711,77.57033,8986d886bb7ffff,City Cultural Event  Malleshwaram,Local,0.51
04-01-2024,17:00,Koramangala,100 Feet Road,526,54.4,1.1,14.6,10.5,0,161.3,26,92,38,16,Cloudy,25.9,0,527,454,411,401,290,213,0.861,0.976,0.723,0.723,77,0.266,0.404,39060.1,3.41,112.08,726.33,12.931322,77.620585,8986dd4904fffff,City Cultural Event  Koramangala,Local,0.58
04-01-2024,18:15,Rajajinagar,Industrial Town Road,311,49.9,1.2,14.1,6.2,1,144.1,7,88,88,3,Cloudy,27.7,0,567,517,480,426,341,305,0.912,0.887,0.8,0.8,36,0.106,0.538,76896.66,8.25,139.7,2516.25,12.992022,77.547103,8986d8b34abffff,Karaga Festival Parade  Rajajinagar,Cultural,0.73
04-01-2024,18:30,Rajajinagar,Industrial Town Road,280,61.4,1.0,7.9,5.6,0,147.9,15,91,54,1,Clear,28.3,0,152,131,100,97,78,71,0.862,0.97,0.804,0.804,7,0.09,0.467,6665.42,6.9,129.6,489.9,12.992022,77.547103,8986d8b34abffff,Neighborhood Event  Rajajinagar,No Event,0.19
04-01-2024,18:45,Basavanagudi,DVG Road,713,49.2,1.22,19.7,14.3,0,155.6,34,87,75,12,Clear,30.7,0,787,702,618,562,556,489,0.892,0.909,0.989,0.989,67,0.121,0.621,93499.36,4.05,105.77,1980.45,12.943109,77.568541,8986dd49a0bffff,"Bengaluru Tech Summit  Palace Grounds, Basavanagudi",Exhibition,0.73
04-01-2024,22:30,Basavanagudi,DVG Road,183,52.1,1.15,11.3,3.7,1,145.6,36,91,54,15,Clear,31.2,0,118,111,85,72,62,51,0.941,0.847,0.861,0.861,11,0.177,0.432,4625.89,4.29,88.51,218.79,12.943109,77.568541,8986dd49a0bffff,No Event,No Event,0.0
04-01-2024,22:30,Rajajinagar,Malleswaram Link Road,111,54.9,1.09,9.0,2.2,0,129.9,25,93,34,37,Clear,32.0,1,243,217,141,117,76,68,0.893,0.83,0.65,0.65,8,0.105,0.28,4036.43,9.48,165.95,644.64,12.992758,77.544283,8986dd49b7bffff,"Bengaluru Tech Summit  Palace Grounds, Rajajinagar",Exhibition,0.72
04-01-2024,22:45,Basavanagudi,Gandhi Bazaar Main Road,188,48.2,1.24,13.3,3.8,1,161.1,2,88,86,12,Fog,18.9,0,213,186,141,119,88,86,0.873,0.844,0.739,0.739,2,0.023,0.404,3519.45,4.33,121.38,372.38,12.941844,77.570185,8986dd49a57ffff,Neighborhood Festivity  Basavanagudi,Sports,0.31
05-01-2024,00:15,MG Road,Brigade Road,168,51.7,1.16,11.3,3.4,0,161.1,42,94,36,10,Clear,29.7,0,969,912,654,628,492,422,0.941,0.96,0.783,0.783,70,0.142,0.436,127394.28,9.62,186.16,4059.64,12.972323,77.607471,8986d884537ffff,"Global Music Festival  Koramangala Indoor Stadium, MG Road",Concert,0.76
05-01-2024,00:45,Basavanagudi,Gandhi Bazaar Main Road,345,50.9,1.18,14.0,6.9,1,153.1,32,84,27,16,Clear,30.1,0,216,187,144,142,116,107,0.866,0.986,0.817,0.817,9,0.078,0.495,24126.43,9.14,145.13,977.98,12.941844,77.570185,8986dd49a57ffff,Karaga Festival Parade  Basavanagudi,Cultural,0.84
05-01-2024,08:30,Electronic City,Wipro Gate,452,42.3,1.42,19.7,9.0,1,176.7,26,87,27,38,Rain,21.4,0,567,510,379,309,270,244,0.899,0.815,0.874,0.874,26,0.096,0.43,23612.12,2.59,78.41,631.96,12.839326,77.666968,8986d894bd7ffff,Classical Music Recital  Electronic City,Cultural,0.46
05-01-2024,09:00,Banashankari,Kanakapura Road,1166,41.9,1.43,29.2,23.3,0,171.7,23,89,53,14,Light Rain,25.4,0,660,600,399,346,231,218,0.909,0.867,0.668,0.668,13,0.056,0.33,27255.21,5.41,89.84,1179.38,12.92234,77.568681,8986dd49a87ffff,Neighborhood Festivity  Banashankari,Cultural,0.26
05-01-2024,09:45,Banashankari,Ring Road Junction,946,55.2,1.09,19.7,18.9,0,139.5,22,91,92,19,Light Rain,22.1,0,153,135,125,115,90,66,0.882,0.92,0.783,0.783,24,0.267,0.431,4766.1,5.93,107.5,391.38,12.923679,77.568044,8986d884883ffff,No Event,No Event,0.0
05-01-2024,09:45,Ulsoor,Murphy Town Road,848,33.0,1.82,29.5,17.0,2,161.3,29,89,71,19,Clear,31.4,0,127,121,76,75,43,32,0.953,0.987,0.573,0.573,11,0.256,0.252,2236.14,5.09,108.84,162.88,12.985277,77.622429,8986dd490c7ffff,Neighborhood Festivity  Ulsoor,Sports,0.28
05-01-2024,10:00,Ulsoor,Ulsoor Lake Road,693,43.7,1.37,22.2,13.9,1,167.4,16,99,38,6,Rain,22.0,0,745,705,525,503,439,374,0.946,0.958,0.873,0.873,65,0.148,0.502,104930.35,4.96,121.45,1855.04,12.983273,77.617488,8986d886ecfffff,"Bengaluru Tech Summit  Palace Grounds, Ulsoor",Exhibition,0.77
05-01-2024,10:30,Basavanagudi,KR Road,858,44.3,1.35,24.0,17.2,1,151.6,38,91,43,34,Clear,29.4,0,59,53,49,42,26,25,0.898,0.857,0.619,0.619,1,0.038,0.424,1629.25,2.55,80.75,63.75,12.938978,77.572833,8986dd49c6fffff,Neighborhood Event  Basavanagudi,No Event,0.12
05-01-2024,17:00,Electronic City,Velankani Junction,441,51.5,1.17,15.0,8.8,0,144.4,33,99,50,9,Clear,30.7,0,445,391,331,327,321,266,0.879,0.988,0.982,0.982,55,0.171,0.598,23965.35,2.56,77.51,680.96,12.836427,77.669637,8986d8875a3ffff,Startup Expo  Electronic City,Exhibition,0.45
05-01-2024,17:30,Malleshwaram,Margosa Road,501,50.7,1.18,16.2,10.0,0,162.3,26,82,22,22,Clear,30.6,0,24,21,13,12,8,6,0.875,0.923,0.667,0.667,2,0.25,0.25,580.91,4.4,88.79,26.4,13.013137,77.573623,8986d884c6fffff,No Event,No Event,0.0
05-01-2024,18:15,Ulsoor,Old Madras Road,793,33.6,1.79,28.5,15.9,0,176.0,35,88,41,30,Clear,33.0,0,313,280,170,145,105,102,0.895,0.853,0.724,0.724,3,0.029,0.326,11285.66,7.4,104.5,754.8,12.984844,77.616614,8986dd49267ffff,No Event,No Event,0.0
05-01-2024,20:15,KR Puram,Mahadevapura Road,856,46.8,1.28,22.7,17.1,1,143.9,30,84,43,23,Cloudy,25.0,0,244,216,148,119,86,69,0.885,0.804,0.723,0.723,17,0.198,0.283,4201.3,5.17,121.21,356.73,12.999746,77.700032,8986d895d17ffff,Community Art Showcase  KR Puram,Exhibition,0.23
05-01-2024,22:15,Yeshwanthpur,Orion Mall Road,228,42.2,1.42,16.9,4.6,0,183.6,29,90,35,8,Rain,21.9,0,114,109,99,92,84,59,0.956,0.929,0.913,0.913,25,0.298,0.518,6182.39,6.76,145.02,398.84,13.021283,77.553891,8986d8b3443ffff,No Event,No Event,0.0
05-01-2024,22:15,Banashankari,Ring Road Junction,166,51.9,1.16,11.2,3.3,1,142.7,19,97,71,18,Fog,18.7,0,137,120,103,85,51,48,0.876,0.825,0.6,0.6,3,0.059,0.35,3465.71,3.81,117.11,182.88,12.923679,77.568044,8986d884883ffff,Neighborhood Festivity  Banashankari,Cultural,0.31
05-01-2024,22:30,HSR Layout,Outer Ring Road,214,63.0,1.0,6.3,4.3,3,133.3,17,88,78,20,Storm,21.1,0,302,290,209,194,132,122,0.96,0.928,0.68,0.68,10,0.076,0.404,15665.77,3.03,105.78,369.66,12.907089,77.636845,8986d88440bffff,Neighborhood Event  HSR Layout,No Event,0.17
05-01-2024,22:30,Electronic City,Neeladri Road,247,51.2,1.17,12.6,4.9,0,149.3,1,96,40,4,Rain,20.8,0,54,50,43,38,35,29,0.926,0.884,0.921,0.921,6,0.171,0.537,3430.53,5.66,102.39,164.14,12.837597,77.670298,8986d8873d7ffff,City Cultural Event  Electronic City,Sports,0.46
06-01-2024,00:15,Electronic City,Neeladri Road,161,47.3,1.27,13.4,3.2,1,140.9,23,93,63,23,Clear,28.8,0,241,219,135,131,120,112,0.909,0.97,0.916,0.916,8,0.067,0.465,14469.35,4.39,102.15,491.68,12.837597,77.670298,8986d8873d7ffff,City Cultural Event  Electronic City,Sports,0.64
06-01-2024,00:45,MG Road,Cubbon Road,197,65.2,1.0,5.0,3.9,0,158.5,15,84,94,13,Cloudy,27.7,0,324,292,189,178,156,111,0.901,0.942,0.876,0.876,45,0.288,0.343,9911.18,4.21,92.58,467.31,12.982792,77.609928,8986dd493cbffff,No Event,No Event,0.0
06-01-2024,00:45,MG Road,Brigade Road,197,53.8,1.12,10.7,3.9,1,146.5,22,90,41,9,Cloudy,24.2,1,594,556,466,439,309,270,0.936,0.942,0.704,0.704,39,0.126,0.455,50373.85,6.18,126.56,1668.6,12.972323,77.607471,8986d884537ffff,Art & Design Fair  MG Road,Exhibition,0.45
06-01-2024,08:00,BTM Layout,Madiwala Road,509,47.2,1.27,18.0,10.2,0,154.9,7,80,61,39,Fog,18.3,0,283,249,231,203,107,102,0.88,0.879,0.527,0.527,5,0.047,0.36,9788.25,7.84,115.22,799.68,12.90537,77.6081,8986d886c0bffff,No Event,No Event,0.0
06-01-2024,10:00,Yeshwanthpur,Tumkur Road,611,54.0,1.11,15.9,12.2,0,158.0,23,98,85,7,Rain,20.8,0,90,86,71,58,44,38,0.956,0.817,0.759,0.759,6,0.136,0.422,2918.33,3.18,69.07,120.84,13.02128,77.545858,8986dd49b7bffff,"Bengaluru Tech Summit  Palace Grounds, Yeshwanthpur",Exhibition,0.81
06-01-2024,10:15,KR Puram,Old Madras Road,1157,43.8,1.37,28.1,23.1,1,183.1,25,91,50,4,Cloudy,26.0,0,539,467,418,412,351,265,0.866,0.986,0.852,0.852,86,0.245,0.492,50074.54,2.98,110.47,789.7,12.996016,77.702911,8986d887653ffff,Auto Expo  KR Puram,Exhibition,0.56
06-01-2024,17:15,Electronic City,Hosur Road,378,61.3,1.0,9.3,7.6,0,154.7,37,88,87,17,Cloudy,27.8,0,355,335,277,264,236,187,0.944,0.953,0.894,0.894,49,0.208,0.527,5659.97,6.06,119.92,1133.22,12.831413,77.675142,8986d887557ffff,No Event,No Event,0.0
06-01-2024,17:45,Hebbal,Nagawara Junction,624,45.8,1.31,20.2,12.5,0,154.8,23,92,58,26,Light Rain,25.7,0,403,362,225,223,203,159,0.898,0.991,0.91,0.91,44,0.217,0.395,42002.62,7.73,166.8,1229.07,13.028951,77.592978,8986dd48273ffff,"Global Music Festival  Koramangala Indoor Stadium, Hebbal",Concert,0.75
06-01-2024,18:15,Indiranagar,100 Feet Road,847,37.4,1.6,27.3,16.9,1,157.6,26,89,53,13,Storm,20.0,0,256,228,157,143,116,83,0.891,0.911,0.811,0.811,33,0.284,0.324,5573.11,6.26,109.2,519.58,12.976945,77.643432,8986d8860b7ffff,No Event,No Event,0.0
